Dataset,Phylum,Class,Order,Family,Genus,Species,n
CCZ,Foraminifera,Globothalamea,Rotaliida,Epistomariidae,Nuttallides,Nuttallides umbonifer,4102
CCZ,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,Oithona tenuis,3860
CCZ,Cnidaria,Octocorallia,Scleralcyonacea,NA,NA,NA,3848
CCZ,Foraminifera,Nodosariata,NA,Reophacidae,Reophax,NA,3845
CCZ,Arthropoda,Copepoda,Calanoida,Paracalanidae,Calocalanus,Calocalanus styliremis,3720
CCZ,Foraminifera,Tubothalamea,Spirillinida,Ammodiscidae,Glomospira,Glomospira gordialis,3443
CCZ,Nematoda,Chromadorea,Chromadorida,Chromadoridae,Acantholaimus,NA,3307.980720545
CCZ,Foraminifera,Globothalamea,Rotaliida,Cassidulinidae,Globocassidulina,Globocassidulina subglobosa,3276
CCZ,Arthropoda,Copepoda,Calanoida,Paracalanidae,Calocalanus,Calocalanus pavo,3050
CCZ,Arthropoda,Tantulocarida,NA,NA,NA,NA,3006
CCZ,Gastrotricha,NA,NA,NA,NA,NA,2998.726192794
CCZ,Foraminifera,Monothalamea,Astrorhizida,NA,NA,NA,2994
CCZ,Foraminifera,Globothalamea,Lituolida,Ammosphaeroidinidae,Cystammina,Cystammina pauciloculata,2975
CCZ,Cnidaria,Hexacorallia,Actiniaria,NA,NA,NA,2873
CCZ,Mollusca,Polyplacophora,Lepidopleurida,Leptochitonidae,Leptochiton,NA,2810
CCZ,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,Oithona setigera,2770
CCZ,Arthropoda,Malacostraca,Decapoda,Solenoceridae,Hymenopenaeus,Hymenopenaeus nereus,2761
CCZ,Arthropoda,Malacostraca,Amphipoda,Alicellidae,Paralicella,NA,2716
CCZ,Arthropoda,Copepoda,Calanoida,Paracalanidae,Mecynocera,Mecynocera clausi,2690
CCZ,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,Acartia (Acartia) negligens,2505
CCZ,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Farranula,Farranula gibbula,2410
CCZ,Foraminifera,Globothalamea,Lituolida,Ammosphaeroidinidae,Cribrostomoides,Cribrostomoides subglobosus,2366
CCZ,Arthropoda,Copepoda,Calanoida,Lucicutiidae,Lucicutia,Lucicutia flavicornis,2320
CCZ,Chordata,Appendicularia,Copelata,Oikopleuridae,Oikopleura,NA,2238
CCZ,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,NA,NA,2078
CCZ,Bryozoa,NA,NA,NA,NA,NA,2010
CCZ,Arthropoda,Malacostraca,Decapoda,Aristeidae,Cerataspis,Cerataspis monstrosus,2005
CCZ,Bryozoa,Gymnolaemata,NA,NA,NA,NA,1917
CCZ,Arthropoda,Malacostraca,Cumacea,NA,NA,NA,1888.564316696
CCZ,Foraminifera,NA,NA,NA,NA,NA,1833
CCZ,Arthropoda,Copepoda,Calanoida,Paracalanidae,Calocalanus,Calocalanus plumulosus,1810
CCZ,Foraminifera,Nodosariata,NA,Hormosinidae,Pseudonodosinella,Pseudonodosinella nodulosa,1771
CCZ,Porifera,NA,NA,NA,NA,NA,1741
CCZ,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,Oithona robusta,1720
CCZ,Arthropoda,Malacostraca,Cumacea,Nannastacidae,NA,NA,1697
CCZ,Arthropoda,Malacostraca,NA,NA,NA,NA,1674
CCZ,Kinorhyncha,NA,NA,NA,NA,NA,1656.369359755
CCZ,Arthropoda,Copepoda,Calanoida,Eucalanidae,Subeucalanus,Subeucalanus subtenuis,1640
CCZ,Chordata,Teleostei,Gadiformes,Macrouridae,Coryphaenoides,NA,1627
CCZ,Foraminifera,Nodosariata,NA,Reophacidae,Reophax,Reophax scorpiurus,1582
CCZ,Cnidaria,Octocorallia,NA,NA,NA,NA,1568
CCZ,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,Oithona decipiens,1550
CCZ,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus ingens,1520
CCZ,Foraminifera,Monothalamea,Allogromiida,Allogromiidae,Nodellum,NA,1489
CCZ,Echinodermata,Echinoidea,Aspidodiadematoida,Aspidodiadematidae,Plesiodiadema,NA,1437
CCZ,Porifera,Hexactinellida,NA,NA,NA,NA,1422
CCZ,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,Oithona hamata,1420
CCZ,Arthropoda,Copepoda,Cyclopoida,Oncaeidae,Triconia,Triconia similis,1402
CCZ,Arthropoda,Copepoda,Calanoida,Augaptilidae,Haloptilus,Haloptilus longicornis,1400
CCZ,Arthropoda,Copepoda,Cyclopoida,Oncaeidae,Oncaea,Oncaea ornata,1400
CCZ,Arthropoda,Copepoda,Mormonilloida,Mormonillidae,Neomormonilla,Neomormonilla minor,1380
CCZ,Foraminifera,Monothalamea,Astrorhizida,Saccamminidae,Lagenammina,Lagenammina difflugiformis,1365
CCZ,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,Oithona linearis,1360
CCZ,Cnidaria,Octocorallia,Scleralcyonacea,Primnoidae,Callozostron,NA,1335
CCZ,Mollusca,Gastropoda,NA,NA,NA,NA,1330
CCZ,Porifera,Demospongiae,Tetractinellida,Theneidae,Thenea,NA,1295
CCZ,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus arcuicornis,1270
CCZ,Foraminifera,Globothalamea,Lituolida,Adercotrymidae,Adercotryma,Adercotryma glomeratum,1240
CCZ,Platyhelminthes,Turbellaria,NA,NA,NA,NA,1231.388813279
CCZ,Nematoda,Chromadorea,Desmoscolecida,Desmoscolecidae,NA,NA,1222.610785421
CCZ,Arthropoda,Copepoda,Calanoida,Lucicutiidae,Lucicutia,Lucicutia gemina,1211
CCZ,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus,Paracalanus gracilis,1190
CCZ,Foraminifera,Nodosariata,NA,Reophacidae,Reophax,Reophax helenae,1186
CCZ,Foraminifera,Globothalamea,Lituolida,Haplophragmoididae,Buzasina,Buzasina galeata,1178
CCZ,Arthropoda,Ostracoda,Myodocopida,Cypridinidae,Cypridina,Cypridina nana,1164
CCZ,Cnidaria,Octocorallia,Scleralcyonacea,Primnoidae,NA,NA,1163
CCZ,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Ditrichocorycaeus,Ditrichocorycaeus dubius,1126
CCZ,Foraminifera,Globothalamea,Lituolida,Spiroplectamminidae,Spiroplectammina,Spiroplectammina biformis,1120
CCZ,Foraminifera,Nodosariata,NA,Reophacidae,Nodulina,Nodulina dentaliniformis,1120
CCZ,Arthropoda,NA,NA,NA,NA,NA,1091
CCZ,Echinodermata,Asteroidea,NA,NA,NA,NA,1087
CCZ,Foraminifera,Monothalamea,Astrorhizida,Saccamminidae,Thurammina,Thurammina papillata,1078
CCZ,Arthropoda,Thecostraca,NA,NA,NA,NA,1068
CCZ,Arthropoda,Copepoda,Mormonilloida,Mormonillidae,Mormonilla,Mormonilla phasma,1062
CCZ,Foraminifera,Globothalamea,Rotaliida,Discorbinellidae,Laticarinina,Laticarinina pauperata,1057
CCZ,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Agetus,Agetus limbatus,1050
CCZ,Chaetognatha,NA,NA,NA,NA,NA,1039
CCZ,Foraminifera,Globothalamea,Lituolida,Trochamminidae,Ammoglobigerina,Ammoglobigerina globigeriniformis,1013
CCZ,Myzozoa,Dinophyceae,NA,NA,NA,NA,975
CCZ,Foraminifera,Monothalamea,Astrorhizida,Saccamminidae,Thurammina,NA,956
CCZ,Annelida,Polychaeta,Sabellida,Serpulidae,NA,NA,937
CCZ,Arthropoda,Ostracoda,Myodocopida,Cypridinidae,Cypridina,Cypridina sinuosa,931
CCZ,Foraminifera,Nodosariata,NA,Hormosinidae,Loeblichopsis,Loeblichopsis cylindrica,903
CCZ,Arthropoda,Copepoda,Calanoida,Calanidae,Mesocalanus,Mesocalanus tenuicornis,896
CCZ,Foraminifera,Tubothalamea,Miliolida,NA,NA,NA,894
CCZ,Foraminifera,Globothalamea,Lituolida,Lituolidae,Ammobaculites,Ammobaculites filiformis,878
CCZ,Arthropoda,Copepoda,Calanoida,Euchaetidae,Euchaeta,Euchaeta rimana,874
CCZ,Foraminifera,Globothalamea,Lituolida,Lituolidae,Ammobaculites,Ammobaculites agglutinans,868
CCZ,Nematoda,Enoplea,Enoplida,Oxystominidae,Halalaimus,NA,861.582451599
CCZ,Foraminifera,Globothalamea,Rotaliida,Cassidulinidae,Cassidulina,Cassidulina reniformis,831
CCZ,Echinodermata,Echinoidea,NA,NA,NA,NA,827.317169139
CCZ,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Metaconchoecia,NA,820
CCZ,Foraminifera,Globothalamea,Rotaliida,Cibicididae,Cibicides,NA,819
CCZ,Foraminifera,Globothalamea,Rotaliida,Melonidae,Melonis,Melonis affinis,806
CCZ,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,Acartia (Acartia) danae,784
CCZ,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Urocorycaeus,Urocorycaeus lautus,784
CCZ,Foraminifera,Globothalamea,Textulariida,Eggerellidae,Eggerella,Eggerella bradyi,782
CCZ,Echinodermata,Ophiuroidea,Ophiurida,Ophiosphalmidae,Ophiosphalma,NA,767
CCZ,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scaphocalanus,Scaphocalanus echinatus,760
CCZ,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Farranula,NA,760
CCZ,Cnidaria,Octocorallia,Scleralcyonacea,Primnoidae,Calyptrophora,NA,759
CCZ,Arthropoda,Copepoda,Calanoida,Paracalanidae,Acrocalanus,Acrocalanus longicornis,755
CCZ,Foraminifera,Globothalamea,Loftusiida,Cyclamminidae,Cyclammina,Cyclammina cancellata,752
CCZ,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Agetus,Agetus typicus,750
CCZ,Nematoda,Chromadorea,Monhysterida,Xyalidae,Theristus,NA,739.431777427
CCZ,Foraminifera,Globothalamea,Rotaliida,Pseudoparrellidae,Epistominella,Epistominella exigua,738
CCZ,Foraminifera,Monothalamea,Astrorhizida,Baculellidae,NA,NA,730
CCZ,Arthropoda,Malacostraca,Decapoda,NA,NA,NA,719
CCZ,Echinodermata,Holothuroidea,NA,NA,NA,NA,707
CCZ,Arthropoda,Copepoda,Calanoida,Rhincalanidae,Rhincalanus,Rhincalanus rostrifrons,700
CCZ,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Archiconchoecia,Archiconchoecia striata,700
CCZ,Arthropoda,Ostracoda,Myodocopida,Cypridinidae,Codonocera,Codonocera pusilla,700
CCZ,Foraminifera,Globothalamea,Loftusiida,Globotextulariidae,Verneuilinulla,Verneuilinulla propinqua,688
CCZ,Foraminifera,Globothalamea,Lituolida,Ammosphaeroidinidae,Cribrostomoides,Cribrostomoides nitidus,677
CCZ,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Paraconchoecia,Paraconchoecia oblonga,672
CCZ,Arthropoda,Copepoda,Calanoida,Eucalanidae,Pareucalanus,Pareucalanus attenuatus,669
CCZ,Nematoda,Chromadorea,Monhysterida,Xyalidae,Manganonema,NA,664.903199781
CCZ,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,Oithona atlantica,660
CCZ,Annelida,Polychaeta,Spionida,Spionidae,NA,NA,651
CCZ,Arthropoda,Copepoda,Cyclopoida,Sapphirinidae,Vettoria,Vettoria granulosa,650
CCZ,Nematoda,Chromadorea,Desmodorida,Microlaimidae,Microlaimus,NA,642.352449734
CCZ,Annelida,Polychaeta,Terebellida,Cirratulidae,NA,NA,636
CCZ,Foraminifera,Nodosariata,Polymorphinida,Ellipsolagenidae,Fissurina,Fissurina stschedrinae,636
CCZ,Foraminifera,Monothalamea,Astrorhizida,Baculellidae,Edgertonia,Edgertonia floccula,632
CCZ,Echinodermata,Ophiuroidea,Ophiurida,Ophiosphalmidae,Ophiomusium,NA,612
CCZ,Foraminifera,Globothalamea,Rotaliida,NA,NA,NA,612
CCZ,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus lividus,610
CCZ,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus,Paracalanus nanus,610
CCZ,Foraminifera,Globothalamea,Loftusiida,Cyclamminidae,Cyclammina,Cyclammina trullissata,610
CCZ,Foraminifera,Nodosariata,NA,Hormosinellidae,Hormosinelloides,NA,595
CCZ,Bryozoa,Gymnolaemata,Cheilostomatida,Tessaradomidae,Smithsonius,NA,590
CCZ,Nematoda,Chromadorea,Monhysterida,Xyalidae,Daptonema,NA,582.906855074
CCZ,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Urocorycaeus,Urocorycaeus furcifer,582
CCZ,Annelida,Polychaeta,Phyllodocida,Polynoidae,NA,NA,572
CCZ,Foraminifera,Monothalamea,Astrorhizida,Hyperamminidae,Hyperammina,Hyperammina laevigata,571
CCZ,Echinodermata,Ophiuroidea,Ophiurida,Ophiosphalmidae,Ophiosphalma,Ophiosphalma glabrum,561
CCZ,Rotifera,NA,NA,NA,NA,NA,558
CCZ,Cnidaria,Octocorallia,Scleralcyonacea,Keratoisididae,Lepidisis,NA,550
CCZ,Chordata,Appendicularia,Copelata,Fritillariidae,Fritillaria,Fritillaria borealis,540
CCZ,Nematoda,Chromadorea,Desmoscolecida,Desmoscolecidae,Desmoscolex,NA,530.035451761
CCZ,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithricella,Scolecithricella dentata,510
CCZ,Nematoda,Chromadorea,Plectida,Camacolaimidae,Deontolaimus,NA,508.541845304
CCZ,Cnidaria,NA,NA,NA,NA,NA,503.795003347
CCZ,Arthropoda,Copepoda,Calanoida,Augaptilidae,Haloptilus,Haloptilus longicirrus,500
CCZ,Arthropoda,Copepoda,Harpacticoida,Ectinosomatidae,Microsetella,Microsetella norvegica,500
CCZ,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Corycaeus,Corycaeus crassiusculus,498
CCZ,Foraminifera,Globothalamea,Rotaliida,Cancrisidae,Gyroidinoides,NA,496
CCZ,Foraminifera,Globothalamea,Textulariida,Textulariidae,Textularia,Textularia agglutinans,490
CCZ,Arthropoda,Copepoda,Calanoida,Calanidae,Canthocalanus,Canthocalanus pauper,486
CCZ,Arthropoda,Malacostraca,Amphipoda,Eurytheneidae,Eurythenes,Eurythenes gryllus,486
CCZ,Nematoda,Chromadorea,Desmoscolecida,Desmoscolecidae,Tricoma,NA,481.41236480099997
CCZ,Chordata,Teleostei,Perciformes,Zoarcidae,Pachycara,Pachycara bulbiceps,479
CCZ,Annelida,Polychaeta,Sabellida,Sabellidae,NA,NA,476
CCZ,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,Oithona vivida,475
CCZ,Foraminifera,Monothalamea,Allogromiida,Allogromiidae,Resigella,Resigella moniliformis,474
CCZ,Arthropoda,Malacostraca,Isopoda,Desmosomatidae,NA,NA,471
CCZ,Nematoda,Chromadorea,Plectida,Leptolaimidae,Leptolaimus,NA,463.74798316
CCZ,Bryozoa,Gymnolaemata,Cheilostomatida,Candidae,Notoplites,NA,463
CCZ,Arthropoda,Copepoda,Calanoida,Augaptilidae,Haloptilus,Haloptilus paralongicirrus,460
CCZ,Arthropoda,Copepoda,Calanoida,Paracalanidae,Calocalanus,Calocalanus monospinus,460
CCZ,Bryozoa,Gymnolaemata,Cheilostomatida,Farciminariidae,Columnella,NA,458
CCZ,Cnidaria,Hexacorallia,Antipatharia,Cladopathidae,Abyssopathes,NA,458
CCZ,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Aidanosagitta,Aidanosagitta regularis,455
CCZ,Foraminifera,Monothalamea,Astrorhizida,Hyperamminidae,Hyperammina,Hyperammina cylindrica,452
CCZ,Arthropoda,Copepoda,Calanoida,Calanidae,Neocalanus,Neocalanus gracilis,448
CCZ,Foraminifera,Tubothalamea,Spirillinida,Ammodiscidae,Glomospira,Glomospira charoides,445
CCZ,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scaphocalanus,Scaphocalanus brevicornis,442
CCZ,Annelida,Polychaeta,Eunicida,Lumbrineridae,NA,NA,436
CCZ,Echinodermata,Crinoidea,NA,NA,NA,NA,434
CCZ,Arthropoda,Copepoda,Calanoida,Aetideidae,Aetideus,Aetideus acutus,431
CCZ,Arthropoda,Copepoda,Calanoida,Paracalanidae,Calocalanus,Calocalanus contractus,430
CCZ,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Farranula,Farranula rostrata,425
CCZ,Foraminifera,Globothalamea,Rotaliida,Pseudoparrellidae,Epistominella,NA,425
CCZ,Arthropoda,Ostracoda,Myodocopida,Cypridinidae,Cypridina,Cypridina multipilosa,420
CCZ,Foraminifera,Globothalamea,Rotaliida,Pulleniidae,Pullenia,Pullenia bulloides,419
CCZ,Foraminifera,Monothalamea,Astrorhizida,Polysaccamminidae,NA,NA,415
CCZ,Arthropoda,Copepoda,Calanoida,Euchaetidae,Euchaeta,Euchaeta indica,414
CCZ,Annelida,Polychaeta,NA,Paraonidae,NA,NA,413
CCZ,Foraminifera,Globothalamea,Loftusiida,Cyclamminidae,Cyclammina,Cyclammina subtrullissata,413
CCZ,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,NA,412
CCZ,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Corycaeus,NA,400
CCZ,Arthropoda,Pycnogonida,Pantopoda,NA,NA,NA,397
CCZ,Mollusca,Scaphopoda,NA,NA,NA,NA,397
CCZ,Arthropoda,Copepoda,Calanoida,Centropagidae,Centropages,Centropages calaninus,396
CCZ,Nematoda,Chromadorea,Chromadorida,Cyatholaimidae,Paracyatholaimus,NA,394.002081477
CCZ,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithrix,Scolecithrix bradyi,388
CCZ,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Serratosagitta,Serratosagitta pacifica,382
CCZ,Foraminifera,Nodosariata,NA,Hormosinellidae,Subreophax,Subreophax monile,382
CCZ,Mollusca,Bivalvia,Arcida,Arcidae,Bathyarca,NA,382
CCZ,Arthropoda,Copepoda,Calanoida,Rhincalanidae,Rhincalanus,Rhincalanus cornutus,381
CCZ,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,Acartia (Acartiura) clausii,380
CCZ,Chordata,Thaliacea,Doliolida,Doliolidae,Doliolina,Doliolina (Doliolina) muelleri,373
CCZ,Nematoda,Chromadorea,Monhysterida,Monhysteridae,NA,NA,372.919444235
CCZ,Arthropoda,Malacostraca,Amphipoda,Uristidae,Abyssorchomene,Abyssorchomene gerulicorbis,368
CCZ,Arthropoda,Copepoda,Calanoida,Lucicutiidae,Lucicutia,Lucicutia gaussae,363
CCZ,Foraminifera,Nodosariata,Polymorphinida,Ellipsolagenidae,Fissurina,NA,363
CCZ,Arthropoda,Copepoda,Calanoida,Euchaetidae,Euchaeta,Euchaeta longicornis,361
CCZ,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,NA,361
CCZ,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus jobei,360
CCZ,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithricella,Scolecithricella minor,360
CCZ,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Farranula,Farranula concinna,360
CCZ,Nematoda,Chromadorea,Desmodorida,Desmodoridae,Molgolaimus,NA,354.422955593
CCZ,Nematoda,Chromadorea,Chromadorida,Chromadoridae,Prochromadorella,NA,353.651633251
CCZ,Cnidaria,Octocorallia,Malacalcyonacea,Taiaroidae,NA,NA,353
CCZ,Nematoda,Chromadorea,Monhysterida,Xyalidae,Marisalbinema,NA,351.700394418
CCZ,Arthropoda,Copepoda,Calanoida,Candaciidae,Candacia,NA,350
CCZ,Arthropoda,Copepoda,Harpacticoida,Pseudotachidiidae,NA,NA,350
CCZ,Arthropoda,Copepoda,Calanoida,Eucalanidae,Pareucalanus,NA,344
CCZ,Arthropoda,Copepoda,Calanoida,Calanidae,Cosmocalanus,Cosmocalanus darwinii,342
CCZ,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,Oithona fallax,340
CCZ,Porifera,Hexactinellida,Amphidiscosida,Pheronematidae,NA,NA,336
CCZ,Arthropoda,Copepoda,Calanoida,Calanidae,Undinula,Undinula vulgaris,335
CCZ,Arthropoda,Copepoda,Calanoida,Paracalanidae,Acrocalanus,Acrocalanus gracilis,330
CCZ,Arthropoda,Copepoda,Calanoida,Paracalanidae,Paracalanus,Paracalanus aculeatus,330
CCZ,Echinodermata,Holothuroidea,Synallactida,Synallactidae,NA,NA,328
CCZ,Arthropoda,Copepoda,Harpacticoida,Argestidae,NA,NA,327
CCZ,Arthropoda,Copepoda,Cyclopoida,Oncaeidae,Triconia,Triconia minuta,326
CCZ,Foraminifera,Monothalamea,Astrorhizida,Saccamminidae,Lagenammina,NA,323
CCZ,Arthropoda,Arachnida,NA,NA,NA,NA,322.066485409
CCZ,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,NA,NA,322
CCZ,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus parapergens,320
CCZ,Foraminifera,Nodosariata,Polymorphinida,Ellipsolagenidae,Fissurina,Fissurina striolata,317
CCZ,Arthropoda,Copepoda,Calanoida,Eucalanidae,Subeucalanus,Subeucalanus pileatus,312
CCZ,Annelida,Polychaeta,Terebellida,Acrocirridae,NA,NA,311
CCZ,Arthropoda,Copepoda,Calanoida,Paracalanidae,Calocalanus,Calocalanus pavoninus,310
CCZ,Annelida,Polychaeta,Phyllodocida,Syllidae,NA,NA,307
CCZ,Cnidaria,Hexacorallia,Antipatharia,NA,NA,NA,305
CCZ,Nematoda,Chromadorea,Chromadorida,Chromadoridae,NA,NA,302.790111652
CCZ,Arthropoda,Copepoda,Calanoida,Lucicutiidae,Lucicutia,Lucicutia magna,300
CCZ,Chordata,Appendicularia,Copelata,Fritillariidae,Fritillaria,Fritillaria pellucida,300
CCZ,Foraminifera,Nodosariata,Polymorphinida,Polymorphinidae,Globulina,Globulina minuta,297
CCZ,Nematoda,Chromadorea,Desmoscolecida,Desmoscolecidae,Calligyrus,NA,295.199899812
CCZ,Annelida,Polychaeta,NA,Maldanidae,NA,NA,295
CCZ,Arthropoda,Malacostraca,Cumacea,Leuconidae,NA,NA,291
CCZ,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Corycaeus,Corycaeus speciosus,289
CCZ,Foraminifera,Monothalamea,Astrorhizida,Rhizamminidae,Rhizammina,NA,288
CCZ,Nemertea,NA,NA,NA,NA,NA,284.645653957
CCZ,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Flaccisagitta,Flaccisagitta enflata,284
CCZ,Nematoda,Chromadorea,Plectida,Diplopeltoididae,Diplopeltoides,NA,282.925040308
CCZ,Cnidaria,Octocorallia,Scleralcyonacea,Keratoisididae,Bathygorgia,NA,282
CCZ,Annelida,NA,Sipuncula,NA,NA,NA,280.385900176
CCZ,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,Acartia (Acanthacartia) fossae,280
CCZ,Foraminifera,Globothalamea,Rotaliida,Nonionidae,NA,NA,280
CCZ,Arthropoda,Copepoda,Calanoida,Candaciidae,Candacia,Candacia truncata,271
CCZ,Annelida,Polychaeta,NA,Opheliidae,NA,NA,269
CCZ,Foraminifera,Monothalamea,Astrorhizida,Hyperamminidae,Hyperammina,NA,269
CCZ,Foraminifera,Globothalamea,Lituolida,NA,NA,NA,267
CCZ,Foraminifera,Globothalamea,Rotaliida,Eponididae,Alabaminella,Alabaminella weddellensis,266
CCZ,Nematoda,Chromadorea,Monhysterida,Monhysteridae,Monhystrella,NA,266
CCZ,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Scolecithricella,NA,261
CCZ,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,Acartia (Odontacartia) pacifica,260
CCZ,Arthropoda,Copepoda,Calanoida,Eucalanidae,Pareucalanus,Pareucalanus sewelli,260
CCZ,Annelida,Polychaeta,Phyllodocida,Nereididae,NA,NA,258
CCZ,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Sagitta,NA,257
CCZ,Foraminifera,Globothalamea,Lituolida,Discamminidae,Discammina,Discammina compressa,257
CCZ,Arthropoda,Branchiopoda,Onychopoda,Podonidae,Pseudevadne,Pseudevadne tergestina,251
CCZ,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Decipisagitta,Decipisagitta decipiens,250
CCZ,Arthropoda,Copepoda,Cyclopoida,Oithonidae,Oithona,Oithona similis,245
CCZ,Porifera,Hexactinellida,Lyssacinosida,Euplectellidae,NA,NA,245
CCZ,Nematoda,Enoplea,Enoplida,Rhabdolaimidae,Syringolaimus,NA,243.906853946
CCZ,Nematoda,Chromadorea,Monhysterida,Xyalidae,NA,NA,242.647509556
CCZ,Arthropoda,Copepoda,Calanoida,Euchaetidae,Euchaeta,Euchaeta plana,240
CCZ,Cnidaria,Hexacorallia,Actiniaria,Octineonidae,Octineon,NA,239
